id,toxic,severe_toxic,obscene,threat,insult,identity_hate,toxic,severe_toxic,obscene,threat,insult,identity_hate
ecd4ef0ee65c0cac,0,0,0,0,0,0,0.06106364727020264,0.015852421522140503,0.030898481607437134,0.007872581481933594,0.02699008584022522,0.014944255352020264
4865b03456f38cd6,0,0,0,0,0,0,0.05910328030586243,0.01541149616241455,0.030091017484664917,0.008007735013961792,0.025780171155929565,0.014908790588378906
e10e7084eb216c35,0,0,0,0,0,0,0.060599952936172485,0.016488075256347656,0.03032982349395752,0.008154988288879395,0.027116328477859497,0.015301823616027832
a5ba6e1f7b77e6fb,0,0,0,0,0,0,0.06226244568824768,0.014433234930038452,0.030007898807525635,0.0075019001960754395,0.02647322416305542,0.014022141695022583
075cd3eaedd97620,0,0,0,0,0,0,0.05912366509437561,0.016265511512756348,0.0304679274559021,0.008135288953781128,0.025599032640457153,0.015235215425491333
e3f29d9092c646b4,0,0,0,0,0,0,0.06030398607254028,0.016103297472000122,0.030350178480148315,0.008160203695297241,0.0266992449760437,0.015063822269439697
a8b70c889340bd0f,0,0,0,0,0,0,0.06430667638778687,0.01475033164024353,0.031149864196777344,0.0077315568923950195,0.027187645435333252,0.014151513576507568
91a30a5b391996ce,1,0,1,0,0,0,0.09321165084838867,0.015091150999069214,0.043139904737472534,0.009493529796600342,0.038672059774398804,0.01394200325012207
77953bd0985a9802,0,0,0,0,0,0,0.06021183729171753,0.016471505165100098,0.030761510133743286,0.008105278015136719,0.026186048984527588,0.015055477619171143
0bc300c404cb3196,0,0,0,0,0,0,0.08324843645095825,0.015265494585037231,0.036557912826538086,0.008726745843887329,0.03591287136077881,0.013922065496444702
d931efe70f598a32,1,0,1,0,1,1,0.08294898271560669,0.012984663248062134,0.0356656014919281,0.00809505581855774,0.03306195139884949,0.012695491313934326
b34f5ce167ce0776,0,0,0,0,0,0,0.05869847536087036,0.0156421959400177,0.030199944972991943,0.00798073410987854,0.025287747383117676,0.015271604061126709
943c77356d5337be,1,0,1,0,0,0,0.08665460348129272,0.013331413269042969,0.03739255666732788,0.008290320634841919,0.03541335463523865,0.012918204069137573
7e91a36c9a5cbfbc,0,0,0,0,0,0,0.08357992768287659,0.014851659536361694,0.03859347105026245,0.009600520133972168,0.036875367164611816,0.014029145240783691
e5800c090713d5ff,0,0,0,0,0,0,0.06222182512283325,0.01669880747795105,0.031150102615356445,0.00834396481513977,0.027331054210662842,0.015523016452789307
28cd290d2182de98,0,0,0,0,0,0,0.05772867798805237,0.01647961139678955,0.030086874961853027,0.008328884840011597,0.02592453360557556,0.015470743179321289
2a839ed2fa3a23d0,0,0,0,0,0,0,0.05970042943954468,0.016914933919906616,0.031039297580718994,0.00841134786605835,0.026572346687316895,0.01547473669052124
c9d29b17f52f76be,0,0,0,0,0,0,0.0627516508102417,0.015522211790084839,0.03128573298454285,0.007763564586639404,0.027334064245224,0.014607369899749756
85474d09bf991690,0,0,0,0,0,0,0.06717270612716675,0.01422429084777832,0.031559377908706665,0.007758229970932007,0.02966839075088501,0.013544619083404541
f2e4a3bbfa5d10f4,0,0,0,0,0,0,0.06203886866569519,0.016023069620132446,0.03155115246772766,0.008273869752883911,0.02690187096595764,0.01536029577255249
c0358c71fd8d4fd4,0,0,0,0,0,0,0.06311839818954468,0.014448851346969604,0.030528992414474487,0.007539302110671997,0.027215272188186646,0.013943344354629517
65cb566fb279154f,0,0,0,0,0,0,0.059323251247406006,0.014952331781387329,0.02951359748840332,0.007693111896514893,0.026060253381729126,0.01450386643409729
